Initial Unemployment Insurance Claims by Occupation,,,,,
SOC Code,Occupation Title,Week ending,,,
474021,Elevator Installers and Repairers,0,0,*,0
475011,"Derrick Operators, Oil and Gas",0,0,*,0
475012,"Rotary Drill Operators, Oil and Gas",*,0,*,0
475013,"Service Unit Operators, Oil, Gas, and Mining",*,*,*,0
475021,"Earth Drillers, Except Oil and Gas ",*,*,0,0
475041,Continuous Mining Machine Operators,0,*,0,0
475081,Helpers--Extraction Workers,*,0,0,0
492021,"Radio, Cellular, and Tower Equipment Installers and Repairers",*,3,*,0
492091,Avionics Technicians,*,5,5,0
492095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0,*,0,0
493052,Motorcycle Mechanics,0,0,3,0
499012,"Control and Valve Installers and Repairers, Except Mechanical Door",0,0,3,0
499045,"Refractory Materials Repairers, Except Brickmasons",*,0,0,0
499051,Electrical Power-Line Installers and Repairers,3,*,8,0
499081,Wind Turbine Service Technicians,*,*,*,0
499093,"Fabric Menders, Except Garment",0,*,0,0
512023,Electromechanical Equipment Assemblers,0,*,4,0
514052,"Pourers and Casters, Metal",0,*,0,0
514061,"Model Makers, Metal and Plastic",0,*,*,0
514062,"Patternmakers, Metal and Plastic",0,*,0,0
514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0,3,*,0
514192,"Layout Workers, Metal and Plastic",0,*,*,0
514194,"Tool Grinders, Filers, and Sharpeners",0,3,*,0
516061,Textile Bleaching and Dyeing Machine Operators and Tenders,0,*,0,0
516064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",*,0,*,0
516092,Fabric and Apparel Patternmakers,0,*,*,0
518012,Power Distributors and Dispatchers,0,*,0,0
518092,Gas Plant Operators,0,0,*,0
518093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0,*,0,0
519011,Chemical Equipment Operators and Tenders,*,*,0,0
519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0,0,*,0
519193,Cooling and Freezing Equipment Operators and Tenders,*,*,*,0
532021,Air Traffic Controllers,*,*,*,0
534041,Subway and Streetcar Operators,0,0,*,0
535021,"Captains, Mates, and Pilots of Water Vessels",*,0,*,0
536041,Traffic Technicians,0,*,3,0
537031,Dredge Operators,0,0,*,0
537071,Gas Compressor and Gas Pumping Station Operators,0,*,3,0
537072,"Pump Operators, Except Wellhead Pumpers",*,*,3,0
119071,Gaming Managers,*,5,4,*
119161,Emergency Management Directors,0,*,*,*
131032,"Insurance Appraisers, Auto Damage",0,0,3,*
131141,"Compensation, Benefits, and Job Analysis Specialists",*,*,6,*
132031,Budget Analysts,0,*,*,*
132053,Insurance Underwriters,0,*,*,*
151122,Information Security Analysts,*,4,7,*
152031,Operations Research Analysts,*,3,8,*
171011,"Architects, Except Landscape and Naval",*,4,0,*
172021,Agricultural Engineers,0,*,0,*
172061,Computer Hardware Engineers,0,*,*,*
173013,Mechanical Drafters,4,*,4,*
173025,Environmental Engineering Technicians,0,0,*,*
191031,Conservation Scientists,*,*,4,*
192031,Chemists,*,*,5,*
193011,Economists,0,0,0,*
194021,Biological Technicians,*,6,5,*
194031,Chemical Technicians,0,*,4,*
211091,Health Educators,3,4,9,*
212099,"Religious Workers, All Other",*,*,9,*
231022,"Arbitrators, Mediators, and Conciliators",*,*,*,*
251072,"Nursing Instructors and Teachers, Postsecondary",0,*,*,*
252023,"Career/Technical Education Teachers, Middle School",*,*,*,*
252054,"Special Education Teachers, Secondary School",3,0,4,*
271014,Multimedia Artists and Animators,3,4,*,*
271027,Set and Exhibit Designers,0,*,*,*
272021,Athletes and Sports Competitors,4,6,6,*
273042,Technical Writers,*,4,8,*
273099,"Media and Communication Workers, All Other",*,*,4,*
274012,Broadcast Technicians,*,*,3,*
291023,Orthodontists,*,7,14,*
291067,Surgeons ,0,0,0,*
291081,Podiatrists,0,0,*,*
291199,"Health Diagnosing and Treating Practitioners, All Other ",0,3,4,*
292033,Nuclear Medicine Technologists,0,0,*,*
299012,Occupational Health and Safety Technicians,0,4,4,*
333041,Parking Enforcement Workers,*,0,0,*
333051,Police and Sheriff's Patrol Officers,*,5,8,*
339021,Private Detectives and Investigators,0,*,7,*
371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,6,5,*
391011,Gaming Supervisors,0,0,*,*
393092,Costume Attendants,*,4,*,*
393093,"Locker Room, Coatroom, and Dressing Room Attendants",4,12,6,*
395093,Shampooers,6,4,3,*
419021,Real Estate Brokers,0,4,9,*
433061,Procurement Clerks,*,3,5,*
433099,"Financial Clerks, All Other",3,4,8,*
439011,Computer Operators,*,4,4,*
439031,Desktop Publishers,0,0,*,*
439071,"Office Machine Operators, Except Computer",*,0,4,*
439081,Proofreaders and Copy Markers,*,*,3,*
452041,"Graders and Sorters, Agricultural Products",*,*,0,*
472131,"Insulation Workers, Floor, Ceiling, and Wall",0,3,5,*
472132,"Insulation Workers, Mechanical",4,*,11,*
472151,Pipelayers,*,0,5,*
474031,Fence Erectors,*,*,*,*
474071,Septic Tank Servicers and Sewer Pipe Cleaners,0,0,3,*
493043,Rail Car Repairers,0,3,*,*
499062,Medical Equipment Repairers,0,0,0,*
499063,Musical Instrument Repairers and Tuners,0,0,0,*
499092,Commercial Divers,*,3,3,*
499094,Locksmiths and Safe Repairers,4,4,6,*
499095,Manufactured Building and Mobile Home Installers,*,*,*,*
512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0,5,3,*
513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",4,4,0,*
514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0,*,3,*
514051,Metal-Refining Furnace Operators and Tenders,0,*,*,*
514081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,5,6,*
515111,Prepress Technicians and Workers,*,6,7,*
516099,"Textile, Apparel, and Furnishings Workers, All Other",*,*,*,*
518021,Stationary Engineers and Boiler Operators,0,0,*,*
518031,Water and Wastewater Treatment Plant and System Operators,0,4,4,*
518091,Chemical Plant and System Operators,*,*,*,*
519022,"Grinding and Polishing Workers, Hand",4,3,*,*
519031,"Cutters and Trimmers, Hand",*,*,7,*
519082,Medical Appliance Technicians,0,0,3,*
519194,Etchers and Engravers,4,4,*,*
519196,"Paper Goods Machine Setters, Operators, and Tenders",*,4,3,*
532011,"Airline Pilots, Copilots, and Flight Engineers",*,*,6,*
532022,Airfield Operations Specialists,*,8,*,*
537041,Hoist and Winch Operators,*,*,6,*
111031,Legislators,0,*,3,*
119061,Funeral Service Managers,0,*,0,*
131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",8,11,14,*
131041,Compliance Officers,*,4,7,*
132021,Appraisers and Assessors of Real Estate ,*,3,7,*
132071,Credit Counselors,0,4,*,*
132072,Loan Officers,*,5,4,*
152011,Actuaries,*,*,0,*
152021,Mathematicians,0,0,0,*
171021,Cartographers and Photogrammetrists,0,0,0,*
172011,Aerospace Engineers,0,0,*,*
172041,Chemical Engineers,0,*,0,*
172081,Environmental Engineers,*,*,*,*
172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",*,3,*,*
172112,Industrial Engineers,*,5,*,*
172171,Petroleum Engineers,0,0,*,*
173019,"Drafters, All Other",0,*,0,*
173031,Surveying and Mapping Technicians,*,*,*,*
191013,Soil and Plant Scientists,0,*,3,*
191021,Biochemists and Biophysicists,0,*,*,*
191022,Microbiologists,0,0,*,*
191023,Zoologists and Wildlife Biologists,*,0,*,*
191041,Epidemiologists,0,0,0,*
193032,Industrial-Organizational Psychologists,0,4,0,*
193093,Historians,0,0,*,*
193099,"Social Scientists and Related Workers, All Other",0,*,0,*
194041,Geological and Petroleum Technicians ,*,0,0,*
211092,Probation Officers and Correctional Treatment Specialists,3,0,*,*
231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0,0,0,*
251011,"Business Teachers, Postsecondary",0,0,*,*
251042,"Biological Science Teachers, Postsecondary",0,*,0,*
251111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0,0,0,*
251123,"English Language and Literature Teachers, Postsecondary",0,*,*,*
251199,"Postsecondary Teachers, All Other",0,0,0,*
252012,"Kindergarten Teachers, Except Special Education",*,5,*,*
254011,Archivists,*,0,0,*
254012,Curators,0,3,5,*
254013,Museum Technicians and Conservators,*,*,3,*
254031,Library Technicians,0,*,*,*
259011,Audio-Visual and Multimedia Collections Specialists,0,0,0,*
271021,Commercial and Industrial Designers,0,*,4,*
271022,Fashion Designers,*,5,8,*
291131,Veterinarians,*,0,3,*
291161,Nurse Midwives,0,0,0,*
292051,Dietetic Technicians,*,*,*,*
292054,Respiratory Therapy Technicians,0,*,0,*
311015,Orderlies,*,5,*,*
319095,Pharmacy Aides,*,*,*,*
339031,Gaming Surveillance Officers and Gaming Investigators,0,0,*,*
352013,"Cooks, Private Household",*,*,*,*
372021,Pest Control Workers,3,4,3,*
392011,Animal Trainers,0,7,12,*
394021,Funeral Attendants,0,0,*,*
394031,"Morticians, Undertakers, and Funeral Directors",0,0,*,*
396011,Baggage Porters and Bellhops,9,6,7,*
396012,Concierges,15,3,8,*
412012,Gaming Change Persons and Booth Cashiers,*,5,*,*
432099,"Communications Equipment Operators, All Other",0,*,0,*
433041,Gaming Cage Workers,0,3,8,*
434041,"Credit Authorizers, Checkers, and Clerks",*,*,0,*
434061,"Eligibility Interviewers, Government Programs",*,4,*,*
452021,Animal Breeders,*,0,*,*
453021,Hunters and Trappers,0,0,4,*
454029,"Logging Workers, All Other",0,0,*,*
472043,Floor Sanders and Finishers,*,*,3,*
472071,"Paving, Surfacing, and Tamping Equipment Operators",4,3,3,*
472121,Glaziers,*,9,9,*
473019,"Helpers, Construction Trades, All Other",0,3,8,*
474061,Rail-Track Laying and Maintenance Equipment Operators,0,0,*,*
475031,"Explosives Workers, Ordnance Handling Experts, and Blasters",0,0,0,*
475071,"Roustabouts, Oil and Gas",0,*,0,*
492096,"Electronic Equipment Installers and Repairers, Motor Vehicles",*,*,*,*
493041,Farm Equipment Mechanics and Service Technicians,*,3,4,*
493053,Outdoor Power Equipment and Other Small Engine Mechanics,4,6,*,*
493092,Recreational Vehicle Service Technicians,*,*,5,*
499011,Mechanical Door Repairers,*,3,4,*
499061,Camera and Photographic Equipment Repairers,0,*,0,*
499069,"Precision Instrument and Equipment Repairers, All Other",0,0,0,*
499096,Riggers,*,0,*,*
512021,"Coil Winders, Tapers, and Finishers",0,0,0,*
512091,Fiberglass Laminators and Fabricators,0,*,*,*
512093,Timing Device Assemblers and Adjusters,0,0,0,*
514012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",*,5,*,*
514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",*,6,3,*
516042,Shoe Machine Operators and Tenders,0,0,*,*
516093,Upholsterers,0,*,3,*
517031,"Model Makers, Wood",0,0,0,*
517041,"Sawing Machine Setters, Operators, and Tenders, Wood",0,*,5,*
517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",*,*,*,*
518013,Power Plant Operators,0,*,0,*
519021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0,6,6,*
519141,Semiconductor Processors,0,0,0,*
519191,Adhesive Bonding Machine Operators and Tenders,3,7,10,*
519197,Tire Builders,0,*,0,*
531031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators ,3,5,5,*
533099,"Motor Vehicle Operators, All Other",*,*,5,*
534011,Locomotive Engineers,0,0,*,*
534013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0,0,*,*
534099,"Rail Transportation Workers, All Other",0,0,*,*
535011,Sailors and Marine Oilers,0,0,0,*
537032,Excavating and Loading Machine and Dragline Operators ,9,3,4,*
537111,Mine Shuttle Car Operators,*,*,*,*
999999,Unknown,"1,535","2,120","2,184","1,473"
000000,* Other - sum of occupations with fewer than three claimants,283,249,205,264
,,,,,
,,,,,
